gnd1_x,gnd1_y,gnd1_z,gnd2_x,gnd2_y,gnd2_z,gnd3_x,gnd3_y,gnd3_z,gnd4_x,gnd4_y,gnd4_z,result_x,result_y,result_z
-63.086697,-51.810326,0.0,72.19655,75.01301,0.0,1.0996578,-82.320595,0.0,84.96306,-35.97215,0.0,-62,11,70
59.56634,36.958443,0.0,-77.90777,95.616615,0.0,67.42633,-78.292366,0.0,-99.832504,-69.96979,0.0,58,-10,70
-3.0295165,91.74384,0.0,-62.100235,-5.212261,0.0,-44.28729,-34.188923,0.0,-85.27367,-36.156155,0.0,-12,-70,70
-78.97215,40.560524,0.0,-59.652092,85.748245,0.0,-88.224396,-86.99784,0.0,50.888504,58.218346,0.0,55,-61,70
-89.591736,-39.72891,0.0,44.846397,74.413025,0.0,-53.770287,-46.88812,0.0,-68.05325,-67.878975,0.0,-50,-67,70
-26.516157,-25.38817,0.0,13.306173,-0.63190466,0.0,-30.85691,-84.166245,0.0,3.5535197,67.21549,0.0,16,-4,70
-93.017654,-82.830376,0.0,69.46694,2.7548068,0.0,-20.087982,32.864983,0.0,96.42582,38.6969,0.0,33,63,70
-21.30014,66.665535,0.0,24.901178,-37.029194,0.0,-11.254533,81.00915,0.0,51.137333,2.968641,0.0,29,31,70
61.69961,-59.201267,0.0,-29.484463,60.703407,0.0,-32.796097,-40.82088,0.0,-31.961487,50.67636,0.0,47,-44,70
36.024143,92.63687,0.0,71.48532,50.050465,0.0,48.51023,-37.185375,0.0,-37.492508,39.518623,0.0,62,41,70
-50.81013,1.6347595,0.0,-47.137287,-23.918226,0.0,-42.211533,2.9863691,0.0,-28.720455,67.485115,0.0,6,-51,70
-66.64165,-23.171679,0.0,96.578606,38.87919,0.0,-76.69936,78.9723,0.0,-64.97651,-80.86008,0.0,-36,-54,70
32.27707,33.715557,0.0,36.219204,24.202322,0.0,13.0527935,-23.099083,0.0,74.64427,-94.63122,0.0,-1,40,70
79.02296,-22.130634,0.0,-4.3609967,49.55837,0.0,-23.849941,-44.4325,0.0,-66.395004,-82.423874,0.0,-70,-39,70
25.145048,0.6275457,0.0,47.390167,-92.215866,0.0,26.862566,31.62633,0.0,32.136032,-1.7391428,0.0,-11,30,70
37.87156,-10.447772,0.0,-14.000831,-52.95536,0.0,-25.172958,62.79755,0.0,96.811005,-79.71053,0.0,-43,36,70
